Genre,Average_Meta_score
"Drama, Romance, War",100.0000
"Mystery, Romance, Thriller",100.0000
"Drama, Mystery",100.0000
"Comedy, Musical, Romance",99.0000
"Adventure, Mystery, Thriller",98.0000
"Drama, Fantasy, War",98.0000
"Comedy, Music, Romance",98.0000
"Adventure, Drama, Western",98.0000
"Horror, Mystery, Thriller",97.0000
Comedy,97.0000
"Crime, Drama, Film-Noir",95.0000
"Animation, Drama, War",94.0000
"Adventure, Comedy, Fantasy",91.0000
"Drama, Family, Fantasy",89.0000
"Horror, Sci-Fi",89.0000
"Drama, Romance, Sci-Fi",89.0000
"Animation, Adventure, Family",88.0000
"Drama, Fantasy, History",88.0000
"Adventure, Comedy, Crime",88.0000
"Adventure, Comedy, Sci-Fi",87.0000
"Drama, Mystery, War",87.0000
"Comedy, Drama, Thriller",86.5000
"Animation, Adventure, Drama",86.5000
"Adventure, Biography, Drama",86.5000
"Animation, Adventure, Comedy",86.1667
"Action, Adventure, Drama",86.0000
"Biography, Crime, Drama",86.0000
"Adventure, Drama, Thriller",86.0000
"Animation, Family, Fantasy",86.0000
"Adventure, Drama, History",86.0000
"Comedy, War",86.0000
"Drama, Sport",86.0000
"Biography, Drama, Music",85.0000
"Adventure, Drama, Fantasy",85.0000
"Drama, Romance",84.1667
"Drama, Mystery, Thriller",84.0000
"Adventure, Sci-Fi",84.0000
"Drama, Romance, Thriller",84.0000
"Drama, Western",83.0000
Western,81.3333
"Action, Drama, Mystery",81.0000
"Drama, Mystery, Romance",80.0000
"Animation, Action, Adventure",79.3333
"Action, Adventure, Sci-Fi",79.0000
"Drama, War",78.0000
"Animation, Drama, Family",78.0000
"Crime, Drama",77.9000
"Crime, Drama, Sci-Fi",77.0000
"Action, Adventure, Fantasy",76.6667
"Animation, Drama, Fantasy",75.0000
"Crime, Thriller",75.0000
"Action, Sci-Fi",74.0000
"Adventure, Drama, Sci-Fi",74.0000
"Drama, Family, Sport",72.5000
"Biography, Drama",72.0000
"Action, Thriller",72.0000
"Action, Drama, Sport",71.0000
"Adventure, Drama, War",69.0000
"Comedy, Romance",69.0000
"Biography, Drama, History",66.8000
"Drama, Mystery, Sci-Fi",66.0000
"Drama, Horror",66.0000
"Crime, Drama, Thriller",63.5556
"Biography, Comedy, Drama",63.0000
"Crime, Drama, Fantasy",61.0000
"Mystery, Thriller",60.7500
"Action, Adventure",58.2500
"Comedy, Crime",55.0000
"Action, Drama, War",53.3333
"Drama, Music",52.0000
"Action, Biography, Drama",51.6667
"Action, Comedy, Crime",51.6667
Drama,50.6818
"Comedy, Drama, Romance",50.4000
"Drama, Sci-Fi",49.0000
"Comedy, Drama, Family",48.0000
"Biography, Drama, Sport",44.5000
"Drama, Thriller",43.0000
"Comedy, Crime, Drama",42.7500
"Crime, Drama, Mystery",40.5000
"Drama, Thriller, War",39.0000
"Crime, Mystery, Thriller",38.5000
"Action, Drama, Sci-Fi",38.5000
"Action, Crime, Drama",29.6000
"Comedy, Drama",22.3333
"Drama, Family",0.0000
"Drama, Musical",0.0000
"Drama, Film-Noir",0.0000
"Comedy, Drama, War",0.0000
"Drama, Fantasy, Horror",0.0000
"Crime, Drama, Music",0.0000
"Action, Drama",0.0000
"Adventure, Comedy, Drama",0.0000
"Action, Biography, Crime",0.0000
"Action, Comedy, Romance",0.0000
"Action, Adventure, Comedy",0.0000
"Action, Drama, Thriller",0.0000
"Comedy, Drama, Musical",0.0000
"Comedy, Drama, Fantasy",0.0000
"Biography, Drama, Family",0.0000
"Animation, Comedy, Drama",0.0000
